"id","season","comment","subtype","elapsed","scorer","assister"
1818,"2008/2009","n","shot",33,"Craig Bellamy","Mark Noble"
1818,"2008/2009","n","shot",51,"Nicolas Anelka","Frank Lampard"
1819,"2008/2009","n","shot",1,"Wayne Rooney","Cristiano Ronaldo"
1820,"2008/2009","n","shot",24,"Robin van Persie","Samir Nasri"
1820,"2008/2009","n","volley",42,"Robbie Keane","Daniel Agger"
1821,"2008/2009","o","own-goal",78,"Lucas Neill","Lucas Neill"
1822,"2008/2009","dg","disallowed",84,"Steven Pienaar","Steven Pienaar"
1823,"2008/2009","n","shot",12,"Charles N'Zogbia","Shay Given"
1823,"2008/2009","n","shot",29,"Luka Modric","NA"
1823,"2008/2009","n","shot",90,"Damien Duff","Mark Viduka"
1824,"2008/2009","p","penalty",9,"Bennedict McCarthy,27","NA"
1824,"2008/2009","n","loose_ball",18,"Jason Roberts","NA"
1824,"2008/2009","n","loose_ball",27,"Bennedict McCarthy,27","Jason Roberts"
1825,"2008/2009","n","loose_ball",41,"Jimmy Bullard","Bobby Zamora"
1825,"2008/2009","p","penalty",54,"Danny Murphy","NA"
1825,"2008/2009","n","shot",59,"Clint Dempsey","Danny Murphy"
1826,"2008/2009","n","shot",1,"Matthew Taylor","Andrew O'Brien"
1826,"2008/2009","n","shot",3,"Ricardo Gardner","Matthew Taylor"
1826,"2008/2009","n","header",20,"Peter Crouch","Niko Kranjcar"
1827,"2008/2009","n","shot",69,"Luke Moore","James Morrison"
1827,"2008/2009","dg","disallowed",77,"Craig Beattie","NA"
1827,"2008/2009","o","own-goal",84,"Scott Carson","NA"
1827,"2008/2009","n","header",90,"Roman Bednar","Gianni Zuiverloon"
1828,"2008/2009","n","distance",10,"Steed Malbranque","Danny Collins"
1828,"2008/2009","n","shot",19,"Nick Barmby","NA"
1828,"2008/2009","dg","disallowed",73,"Daniel Cousin,20","NA"
1828,"2008/2009","o","own-goal",78,"Kamil Zayatte","NA"
1828,"2008/2009","n","header",84,"Kenwyne Jones","Steed Malbranque"
1828,"2008/2009","n","shot",90,"Djibril Cisse","Carlos Edwards"
1829,"2008/2009","n","shot",26,"Albert Riera","Steven Gerrard"
